segmentnr	original	stemmed
ZH_T85_2876_001:1361a09_0	佛說天公經	佛 說 天 公 經 
ZH_T85_2876_001:1361a11_0	鎘銅灌作柱。象□作屋椽。虎珀作屋𣖷。真珠	鎘 銅 灌 作 柱  象  作 屋 椽  虎 珀 作 屋 𣖷  真 珠 
ZH_T85_2876_001:1361a12_0	作羅網。星宿作鵲頭。日月作繚牕。可得萬	作 羅 網  星 宿 作 鵲 頭  日 月 作 繚 牕  可 得 萬 
ZH_T85_2876_001:1361a13_4	萬九千年。	萬 九 千 年  
ZH_T85_2876_001:1361a13_10	上有一小劫。	上 有 一 小 劫  
ZH_T85_2876_001:1361a13_16	下有一由旬。	下 有 一 由 旬  
ZH_T85_2876_001:1361a14_5	此經雖小大有威神。	此 經 雖 小 大 有 威 神  
ZH_T85_2876_001:1361a14_10	亦等法華。	亦 等 法 華  
ZH_T85_2876_001:1361a14_15	亦等涅槃。	亦 等 涅 槃  
ZH_T85_2876_001:1361a14_20	亦朦雜經。	亦 朦 雜 經  
ZH_T85_2876_001:1361a15_4	譬如東海。	譬 如 東 海  
ZH_T85_2876_001:1361a15_9	喻如太山。	喻 如 太 山  
ZH_T85_2876_001:1361a15_14	入海取寶。	入 海 取 寶  
ZH_T85_2876_001:1361a16_3	隨其多少亦得重來。	隨 其 多 少 亦 得 重 來  
ZH_T85_2876_001:1361a16_8	入山取材。	入 山 取 材  
ZH_T85_2876_001:1361a16_17	任材長短亦得重來。	任 材 長 短 亦 得 重 來  
ZH_T85_2876_001:1361a17_4	誰能抄此經。	誰 能 抄 此 經  
ZH_T85_2876_001:1361a17_10	手中螺文成。	手 中 螺 文 成  
ZH_T85_2876_001:1361a17_16	誰能看此經。	誰 能 看 此 經  
ZH_T85_2876_001:1361a18_2	眼中重光生。	眼 中 重 光 生  
ZH_T85_2876_001:1361a18_8	誰能誦此經。	誰 能 誦 此 經  
ZH_T85_2876_001:1361a18_14	歷劫大聰明。	歷 劫 大 聰 明  
ZH_T85_2876_001:1361a18_20	觀世音造金。	觀 世 音 造 金  
ZH_T85_2876_001:1361a19_4	大罪得除。	大 罪 得 除  
ZH_T85_2876_001:1361a19_9	小罪得滅。	小 罪 得 滅  
ZH_T85_2876_001:1361a19_14	欲向刀山。	欲 向 刀 山  
ZH_T85_2876_001:1361a19_19	刀山摧折。	刀 山 摧 折  
ZH_T85_2876_001:1361a20_3	欲向劍樹。	欲 向 劍 樹  
ZH_T85_2876_001:1361a20_8	劍樹自缺。	劍 樹 自 缺  
ZH_T85_2876_001:1361a20_13	欲向鑪炭。	欲 向 鑪 炭  
ZH_T85_2876_001:1361a20_18	鑪炭自滅。	鑪 炭 自 滅  
ZH_T85_2876_001:1361a21_2	欲向鑵湯。	欲 向 鑵 湯  
ZH_T85_2876_001:1361a21_7	鑵湯自冷。	鑵 湯 自 冷  
ZH_T85_2876_001:1361a21_15	倉倉靈音聲朗朗。	倉 倉 靈 音 聲 朗 朗  
ZH_T85_2876_001:1361a22_4	講堂中央瑠璃作地。	講 堂 中 央 瑠 璃 作 地  
ZH_T85_2876_001:1361a22_9	白銀為譬。	白 銀 為 譬  
ZH_T85_2876_001:1361a23_3	前登金床後仚王凡手把金經。	前 登 金 床 後 仚 王 凡 手 把 金 經  
ZH_T85_2876_001:1361a23_8	至佛說言。	至 佛 說 言  
ZH_T85_2876_001:1361a23_14	憶佛如憶食。	憶 佛 如 憶 食  
ZH_T85_2876_001:1361a23_20	念佛如念命。	念 佛 如 念 命  
ZH_T85_2876_001:1361a24_5	一日誦五遍。	一 日 誦 五 遍  
ZH_T85_2876_001:1361a24_14	除罪一千五百萬劫。	除 罪 一 千 五 百 萬 劫  
ZH_T85_2876_001:1361a25_1	皆釋成佛道。	皆 釋 成 佛 道  
ZH_T85_2876_001:1361a26_100	佛說天公經一卷	佛 說 天 公 經 一 卷 
