segmentnr	original	stemmed
ZH_T47_1998A_010:0850c02_0	大慧普覺禪師語錄卷第十	大 慧 普 覺 禪 師 語 錄 卷 第 十 
ZH_T47_1998A_010:0850c04_0	徑山能仁禪院住持嗣法	徑 山 能 仁 禪 院 住 持 嗣 法 
ZH_T47_1998A_010:0850c05_0	慧日禪師臣蘊聞　上進	慧 日 禪 師 臣 蘊 聞  上 進 
ZH_T47_1998A_010:0850c07_10	頌古頌古世尊未離兜率已降王宮。	頌 古 頌 古 世 尊 未 離 兜 率 已 降 王 宮  
ZH_T47_1998A_010:0850c08_1	未出母胎度人已畢。	未 出 母 胎 度 人 已 畢  
ZH_T47_1998A_010:0850c08_4	頌云。	頌 云  
ZH_T47_1998A_010:0850c09_7	利刃有蜜不須舐。	利 刃 有 蜜 不 須 舐  
ZH_T47_1998A_010:0850c09_17	　　蠱毒之家水莫甞。	  蠱 毒 之 家 水 莫 甞  
ZH_T47_1998A_010:0850c10_4	　　不舐不嘗俱不犯。	  不 舐 不 嘗 俱 不 犯  
ZH_T47_1998A_010:0850c10_12	端然衣錦自還鄉。	端 然 衣 錦 自 還 鄉  
ZH_T47_1998A_010:0850c11_4	世尊初生。	世 尊 初 生  
ZH_T47_1998A_010:0850c11_13	一手指天一手指地。	一 手 指 天 一 手 指 地  
ZH_T47_1998A_010:0850c12_4	云天上天下唯我獨尊。	云 天 上 天 下 唯我獨尊  
ZH_T47_1998A_010:0850c12_7	頌云。	頌 云  
ZH_T47_1998A_010:0850c13_7	老漢纔生便著忙。	老 漢 纔 生 便 著 忙  
ZH_T47_1998A_010:0850c13_17	　　周行七步似顛狂。	  周 行 七 步 似 顛 狂  
ZH_T47_1998A_010:0850c14_4	　　賺他無限癡男女。	  賺 他 無 限 癡 男 女  
ZH_T47_1998A_010:0850c14_12	開眼堂堂入鑊湯。	開 眼 堂 堂 入 鑊 湯  
ZH_T47_1998A_010:0850c15_4	世尊拈華。	世 尊 拈 華  
ZH_T47_1998A_010:0850c15_7	頌云。	頌 云  
ZH_T47_1998A_010:0850c16_5	拈起一枝華。	拈 起 一 枝 華  
ZH_T47_1998A_010:0850c16_13	　　風流出當家。	  風 流 出 當 家  
ZH_T47_1998A_010:0850c16_21	　　若言付心法。	  若 言 付 心 法  
ZH_T47_1998A_010:0850c17_3	　　天下事如麻。	  天 下 事 如 麻  
ZH_T47_1998A_010:0850c18_4	外道問佛。	外 道 問 佛  
ZH_T47_1998A_010:0850c18_7	頌云。	頌 云  
ZH_T47_1998A_010:0850c19_7	兩處牢關擊不通。	兩 處 牢 關 擊 不 通  
ZH_T47_1998A_010:0850c19_17	　　纖塵不動自乖宗。	  纖 塵 不 動 自 乖 宗  
ZH_T47_1998A_010:0850c20_4	　　忽然業鏡百雜碎。	  忽 然 業 鏡 百 雜 碎  
ZH_T47_1998A_010:0850c20_12	黃面瞿曇失却蹤。	黃 面 瞿 曇 失 却 蹤  
ZH_T47_1998A_010:0850c21_6	達磨面壁頌云。	達 磨 面 壁 頌 云  
ZH_T47_1998A_010:0850c22_7	金鼇一掣滄溟竭。	金 鼇 一 掣 滄 溟 竭  
ZH_T47_1998A_010:0850c22_17	　　徒自悠悠泛小舟。	  徒 自 悠 悠 泛 小 舟  
ZH_T47_1998A_010:0850c23_4	　　今日煙波無可釣。	  今 日 煙 波 無 可 釣  
ZH_T47_1998A_010:0850c23_12	不須新月更為鉤。	不 須 新 月 更 為 鉤  
ZH_T47_1998A_010:0850c24_4	二祖安心。	二 祖 安 心  
ZH_T47_1998A_010:0850c24_7	頌云。	頌 云  
ZH_T47_1998A_010:0850c25_7	覓心無處更何安。	覓 心 無 處 更 何 安  
ZH_T47_1998A_010:0850c25_17	　　嚼碎通紅鐵一團。	  嚼 碎 通 紅 鐵 一 團  
ZH_T47_1998A_010:0850c26_4	　　縱使眼開張意氣。	  縱 使 眼 開 張 意 氣  
ZH_T47_1998A_010:0850c26_12	爭如不受老胡謾。	爭 如 不 受 老 胡 謾  
ZH_T47_1998A_010:0850c27_4	女子出定。	女 子 出 定  
ZH_T47_1998A_010:0850c27_7	頌云。	頌 云  
ZH_T47_1998A_010:0850c28_5	出得出不得。	出 得 出 不 得  
ZH_T47_1998A_010:0850c28_13	　　是定非正定。	  是 定 非 正 定  
ZH_T47_1998A_010:0850c28_21	　　罔明與文殊。	  罔 明 與 文 殊  
